Title,Artist,Male Key,Female Key,BPM,Time Signature,Themes,Tags
Rise Up (Lazarus),CAIN,C,Eb,87,4/4,Resurrection; New Life; Spiritual Renewal; Breakthrough; Testimony,Modern; CAIN; Outreach; Testimony; Easter; Resurrection; Renewal
Lifesong,Casting Crowns,Db,E,120,4/4,Whole-Life Worship; Integrity; Discipleship; Surrender; Formation,Modern; Casting Crowns; Discipleship; Formation; Whole-Life Worship; Challenge
Flawless,MercyMe,A,C,102,4/4,Grace; Identity; Justification; Shame; Imputed Righteousness,Modern; MercyMe; Grace; Identity; Shame; Pop-Rock; CCLI Top
Nobody,Casting Crowns,B,D,84,4/4,Humility; Surrender; Platform; Serving; Character,Modern; Casting Crowns; Matthew West; Humility; Worship Leaders; Character
If We Are the Body,Casting Crowns,B,D,80,4/4,Church Mission; Body of Christ; Outreach; Challenge; Action,Modern; Casting Crowns; Challenge; Church Mission; Body of Christ; Outreach
Another in the Fire,Hillsong UNITED,D,F,68,4/4,Suffering; God's Presence; Trials; Refinement; Faithfulness,Modern; Hillsong UNITED; Suffering; Presence; Refinement; Extended Worship; CCLI Top
O Praise the Name (Anastasis),Hillsong Worship,D,F,68,4/4,Resurrection; The Cross; Easter; Gospel Narrative; Hope,Modern; Hillsong Worship; Easter; Resurrection; Communion; Gospel Narrative; CCLI Top
Hello My Name Is,Matthew West,A,C,84,4/4,identity; shame; new creation; grace; freedom,Matthew West; CCM; identity anthem; response song; altar call; medium tempo
Forgiveness,Matthew West,C,Eb,80,4/4,forgiveness; freedom; healing; obedience; the cross,Matthew West; CCM; forgiveness; healing; medium tempo; story-driven
Do Something,Matthew West,G,Bb,96,4/4,justice; action; mission; faith and works; the church,Matthew West; CCM; missions; justice; outreach; medium tempo
Truth Be Told,Matthew West,Bb,Db,72,4/4,authenticity; lament; honesty; confession; grace,Matthew West; CCM; lament; authenticity; mental health; medium tempo
I Still Believe,Jeremy Camp,G,Bb,78,4/4,faith in suffering; grief; trust; God's faithfulness; perseverance,Jeremy Camp; CCM; lament; suffering; testimony; medium tempo; CCLI
Walk By Faith,Jeremy Camp,G,Bb,104,4/4,faith; trust; perseverance; uncertainty; God's faithfulness,Jeremy Camp; CCM; faith declaration; trust; medium tempo; CCLI
There Will Be a Day,Jeremy Camp,D,F,76,4/4,hope; eschatology; suffering; heaven; perseverance,Jeremy Camp; CCM; hope; eschatology; grief; medium tempo
Redeemed,Big Daddy Weave,B,D,127,4/4,redemption; identity; grace; freedom; new creation,Big Daddy Weave; CCM; redemption; grace anthem; fast tempo; CCLI
My Story,Big Daddy Weave,E,G,88,4/4,testimony; God's faithfulness; story; worship; grace,Big Daddy Weave; CCM; testimony; story; medium tempo
We Believe,Newsboys,D,F,130,4/4,creed; doctrine; Trinity; resurrection; the church,Newsboys; CCM; creedal; doctrine; anthemic; fast tempo
God's Not Dead (Like a Lion),Newsboys,E,G,136,4/4,resurrection; God's power; faith declaration; living God; boldness,Newsboys; CCM; anthem; resurrection; fast tempo; youth
By Your Side,Tenth Avenue North,G,Bb,130,4/4,God's presence; comfort; loneliness; divine nearness; identity in Christ,Tenth Avenue North; CCM; comfort; intimacy; slow worship; Dove Award
You Are More,Tenth Avenue North,E,G,84,4/4,grace; identity; shame; forgiveness; acceptance,Tenth Avenue North; CCM; grace anthem; identity; medium tempo; CCLI
Worn,Tenth Avenue North,F#,A,76,4/4,lament; exhaustion; honesty; hope; God's strength,Tenth Avenue North; CCM; lament; burnout; pastoral; slow tempo
He Knows My Name,Francesca Battistelli,Bb,Db,80,4/4,identity; God's knowledge; belonging; intimacy; worth,Francesca Battistelli; CCM; identity; comfort; women's ministry; slow tempo
Find You Here,Ellie Holcomb,A,C,66,4/4,God's presence; suffering; grief; comfort; lament,Ellie Holcomb; CCM; lament; grief; healing; slow tempo; intimate
He Will,Ellie Holcomb,D,F,80,4/4,hope; God's promises; future; trust; eschatology,Ellie Holcomb; CCM; hope; promise; Advent; medium tempo
Cry Out to Jesus,Third Day,C,Eb,66,6/8,comfort; lament; brokenness; Jesus as refuge; prayer,Third Day; CCM; lament; pastoral; healing; slow tempo; CCLI
Sunday Sermons,Anne Wilson,C,Eb,98,4/4,the local church; formation; testimony; Scripture; faithfulness,Anne Wilson; CCM; church; testimony; country gospel; medium tempo
Your Love Awakens Me,Phil Wickham,B,D,101,4/4,resurrection; new life; God's love; Easter; spiritual awakening,Phil Wickham; CCM; resurrection; Easter; fast tempo; anthemic; CCLI
Red Sea Road,Ellie Holcomb,Bb,Db,68,4/4,God's provision; impossibility; faith; Exodus; hope,Ellie Holcomb; CCM; Exodus; hope; pastoral; slow tempo
I Am Not Forgotten,Israel Houghton,E,G,98,4/4,identity; God's knowledge; comfort; belonging; worth,Israel Houghton; New Breed; gospel worship; identity; medium tempo; CCLI
Boldly I Approach (The Art of Celebration),Rend Collective,Bb,Db,138,4/4,access to God; grace; justification; celebration; the cross,Rend Collective; CCM; Celtic folk; grace anthem; fast tempo; CCLI
Not in Me,Sovereign Grace Music,C,Eb,73,4/4,justification; grace alone; Christ's righteousness; Reformation; confession,Sovereign Grace Music; modern hymn; Reformation; justification; slow tempo; doctrinal
O Great God,Sovereign Grace Music,G,Bb,74,3/4,holiness; consecration; sanctification; prayer; God's sovereignty,Sovereign Grace Music; modern hymn; sanctification; slow tempo; Puritan prayer; Bob Kauflin
Come Ye Sinners,Sovereign Grace Music,D,F,82,3/4,invitation; salvation; gospel call; unworthiness; grace,Sovereign Grace Music; hymn; gospel invitation; medium tempo; altar call; Joseph Hart
"Jesus, I My Cross Have Taken",Sovereign Grace Music,E,G,116,4/4,discipleship; sacrifice; surrender; cross-bearing; radical following,Sovereign Grace Music; hymn; discipleship; cross; medium tempo; Bob Kauflin
Let the Church Say Amen,Andraé Crouch,F,Ab,96,4/4,agreement; community; faith declaration; gospel tradition; corporate worship,Andraé Crouch; gospel; classic; call-and-response; medium tempo; CCLI
Good Love,Housefires,E,G,84,4/4,God's love; joy; celebration; goodness; worship,Housefires; CCM; organic worship; joy; medium tempo; acoustic
All Praise,Housefires,D,F,76,4/4,praise; worship; offering; doxology; community,Housefires; CCM; organic worship; praise; medium tempo; acoustic
Endless Praise,Planetshakers,D,F,128,4/4,praise; celebration; God's glory; extravagant worship; unceasing praise,Planetshakers; CCM; high energy; youth; fast tempo; anthemic
Jesus Is Coming Back,Red Rocks Worship,C,Eb,86,4/4,second coming; hope; eschatology; Advent; anticipation,Red Rocks Worship; CCM; eschatology; Advent; medium tempo; anthemic
Let It Be Jesus,Christy Nockels,A,C,72,4/4,surrender; lordship of Christ; centrality of Jesus; prayer; alignment,Christy Nockels; CCM; surrender; prayer; intimate; medium tempo
Healing Is Here,Christy Nockels,G,Bb,78,4/4,healing; Holy Spirit; God's presence; faith; intercession,Christy Nockels; CCM; healing; prayer ministry; Holy Spirit; medium tempo
I Am,Crowder,G,Bb,86,4/4,names of God; God's sufficiency; I AM; covenantal identity; divine attributes,Crowder; CCM; Southern gospel; names of God; medium tempo
Come Praise and Glorify,Sovereign Grace Music,D,F,104,4/4,Trinity; praise; salvation; doxology; Trinitarian theology,Sovereign Grace Music; modern hymn; Trinity; doxology; medium tempo; Bob Kauflin
How I Love You,Sovereign Grace Music,E,G,80,4/4,love for God; devotion; response to grace; first commandment; affection,Sovereign Grace Music; modern hymn; devotional; love; medium tempo; Bob Kauflin
I Will Trust My Savior,Sovereign Grace Music,D,F,96,4/4,trust; faith; perseverance; God's character; peace,Sovereign Grace Music; modern hymn; trust; perseverance; medium tempo
Psalm 100,Sovereign Grace Music,G,Bb,112,4/4,praise; God's goodness; thanksgiving; God's faithfulness; joyful worship,Sovereign Grace Music; psalm; scripture song; thanksgiving; medium tempo
Trust in You,Lauren Daigle,G,A,88,4/4,trust; surrender; suffering; sovereignty of God; faith,Lauren Daigle; CCM; trust; surrender; medium tempo; CCLI
Old Church Choir,Zach Williams,C,Eb,104,4/4,joy; worship; the church; freedom; celebration,Zach Williams; CCM; country gospel; joy; celebration; fast tempo
Hold On to Me,Lauren Daigle,C,D,74,4/4,God's faithfulness; security; trust; weakness; being held,Lauren Daigle; CCM; intimacy; pastoral; healing; slow tempo
Touch the Sky,Hillsong UNITED,A,C,90,4/4,surrender; the kingdom of God; humility; paradox; freedom,Hillsong UNITED; Hillsong; surrender; anthem; medium tempo
"10,000 Reasons (Bless the Lord)",Matt Redman,G,Bb,72,4/4,praise; gratitude; God's attributes; faithfulness; worship,Matt Redman; Passion; CCM; Psalm 103; gratitude; medium tempo; CCLI
Desert Song,Hillsong Worship,D,F,76,4/4,suffering; wilderness; praise; formation; perseverance,Hillsong Worship; Hillsong; Brooke Ligertwood; suffering; formation; medium tempo
Love Is Action,Tauren Wells,Ab,B,108,4/4,love; action; service; justice; the two great commandments,Tauren Wells; CCM; service; justice; fast tempo
Vessel,Housefires,G,Bb,76,4/4,surrender; calling; humility; spiritual formation; being used by God,Housefires; Pat Barrett; intimate; surrender; medium tempo
Faithful Now,Vertical Worship,B,D,74,4/4,faithfulness; God's character; trust; covenant; hope,Vertical Worship; CCM; faithfulness; God's attributes; medium tempo
All Because of Jesus,Fee,C,Eb,134,4/4,resurrection; new life; praise; creation; Christ-centered living,Fee; Steve Fee; CCM; resurrection; anthem; fast tempo; Easter
All In,Matthew West,B,D,88,4/4,commitment; discipleship; wholehearted living; surrender; lordship,Matthew West; CCM; discipleship; commitment; medium tempo
Devotion,Bethel Music,E,G,65,4/4,devotion; consecration; inner life; formation; surrender,Bethel Music; Brian Johnson; intimate; formation; slow tempo
Madly,Fee,G,Bb,80,4/4,love for God; affection; devotion; intimacy; God's love,Fee; Steve Fee; CCM; intimacy; devotion; medium tempo
God Is for Us,CityAlight,D,F,132,4/4,assurance; security; God's advocacy; justification; confidence,CityAlight; CCM; assurance; Romans 8; anthem; fast tempo
Lord From Sorrows Deep I Call (Psalm 42),Matt Boswell,G,Bb,70,4/4,lament; suffering; honesty; hope; Psalm 42,Matt Papa; Matt Boswell; hymn; lament; Psalm 42; slow tempo
More Than Enough,Hillsong Worship,D,F,78,4/4,sufficiency in Christ; contentment; abundance; satisfaction; trust,Hillsong Worship; Hillsong; Reuben Morgan; contentment; medium tempo
This Is the Day,Jesus Culture,E,G,138,4/4,celebration; resurrection; daily worship; gratitude; new mercies,Jesus Culture; CCM; Psalm 118; celebration; Easter; fast tempo
Praise the Father Praise the Son,Chris Tomlin,D,F,80,4/4,Trinity; doxology; praise; doctrine; worship,Chris Tomlin; CCM; Trinity; doctrine; medium tempo
So Be It,Elevation Worship,G,Ab,76,4/4,Sovereignty; God's Word; Declaration; Resurrection; Faith,Elevation Worship; 2026; Easter; Anthem; Declaration; Contemporary
Alleluia,Elevation Worship,A,B,125,4/4,Praise; Perseverance; Spiritual Warfare; Joy; God's Faithfulness,Elevation Worship; 2026; Praise; Chandler Moore; Upbeat; Contemporary
I Know a Name,Elevation Worship,C,Eb,172,4/4,The Name of Jesus; Healing; Resurrection; Authority; Declaration,Elevation Worship; Brandon Lake; 2026; CCLI Top; Dove Award; Easter; Declaration
Jesus Be the Name,Elevation Worship,C,Db,64,4/4,The Name of Jesus; Surrender; Adoration; Lordship; Prayer,Elevation Worship; Tiffany Hudson; 2026; Ballad; Surrender; Communion
Call God,Elevation Worship,Bb,C,92,4/4,Prayer; God's Accessibility; Intimacy; Persistence; Trust,Elevation Worship; Chandler Moore; 2026; Prayer; Gospel Feel; Contemporary
Keep On,Elevation Worship,A,B,138,4/4,Perseverance; Endurance; Testimony; Gratitude; Community,Elevation Worship; 2026; Perseverance; Upbeat; Testimony; Multi-Vocalist
Your Name Is God,Elevation Worship,E,G,78,4/4,The Name of God; Trust; Sovereignty; Refuge; Stillness,Elevation Worship; Leeland Mooring; 2026; Contemplative; Slow; Character of God
Thank You,Elevation Worship,D,F,76,4/4,Gratitude; Thankfulness; God's Goodness; Dependence; Worship,Elevation Worship; Tiffany Hudson; Jonsal Barrientes; 2026; Gratitude; Duet
I Got Saved,Elevation Worship,C,Eb,104,4/4,Salvation; Testimony; New Life; Grace; Celebration,Elevation Worship; Chris Brown; 2026; Testimony; Salvation; Celebratory; Baptism
God I'm Just Grateful,Elevation Worship,D,F,72,4/4,Gratitude; God's Goodness; Testimony; Contentment; Closing Worship,Elevation Worship; Chandler Moore; 2026; Gratitude; Closing Song; CCLI Top; Thanksgiving
